Q,A
如何评价模拟通信系统和数字通信系统的有效性和可靠性？,1.有效性：指传输一定信息量时所占用的信道资源（频带宽度和时间间隔），或者说是传输的“速度”问题。2.可靠性：指接收信息的准确程度，也就是传输的“质量”问题。3.对于模拟通信系统：有效性用带宽来衡量，可靠性用信噪比来衡量。4.对于数字通信系统：有效性用传输速率或频带利用率来衡量，可靠性用误码率来衡量。模拟通信系统：已调信号带宽越小，有效性越好，解调器输出信噪比越高，可靠性越好。数字通信系统：频带利用率越高，有效性越好，误码率越小，可靠性越高。
列举三种常见的复用方式，并进行比较。,1.频分复用（FDM）：利用不同频段传送不同信号。（同时不同频）2.时分复用（TDM）：利用不同时隙传送不同信号。（同频不同时）3.码分复用（CDM）：利用不同正交码传送不同信号。（同频同时）
窄带高斯白噪声中的“窄带”、“高斯”、“白”的含义各是什么？,高斯噪声是指噪声的统计特性服从高斯分布；白噪声是指噪声的功率谱密度在系统的带宽内是均匀分布的；当一个高斯白噪声通过一窄带线性系统后，其输出为一窄带随机过程，对于噪声就称为窄带噪声。
画出通信系统的一般模型并简述其各部分作用。,信源的作用是将原始消息转换为相应的电信号；发送设备对基带信号进行各种处理和变换，以使它适合于在信道中传输；信道是用于传输信号的媒质；接收设备的功能与发送设备相反，作用是恢复出相应的基带信号。信宿是将恢复出来的原始电信号转换成相应的消息。
画出数字通信系统的一般模型并简述其主要优缺点。,优点：抗干扰能力强；便于加密，有利于实现保密通信；易于实现集成化，使通信设备体积小、功耗低；数字信号便于处理、存储交换，便于和计算机连接，也便于用计算机进行管理。缺点：数字通信比模拟通信占据更宽的频带。
什么是眼图？为什么眼图能反映基带信号传输质量？,将待测的基带信号加到示波器的输入端，同时把位定时信号作为扫描同步信号。这样，示波器对基带信号的扫描周期严格与码元周期同步，各码元的波形就会重叠起来。对于二进制数字信号，这个图形与人眼相象，称为“眼图”。若基带信号有失真，则眼图张开程度变小，而基带波形的失真通常是由噪声和码间串扰造成的，故眼图的形状能定性反映系统的性能。
什么是多路复用，有几种方式？,将若干路独立的信号在同一信道中传送称为多路复用。由于在同一个信道中传输多路信号而互不干扰，因此可以提高信道的利用率。按复用方式的不同可分为频分复用和时分复用。
什么是码间干扰？它是如何产生的？对通信质量有什么影响？,由于实际信道的条件是频带受限，而由频谱分析的基本原理可知，任何信号的频域受限和时域受限不可能同时成立，故信号经频域受限的系统传输后其波形在时域上必定无限延伸。这样，前面的码元对后面的若干码元都有影响，这种影响称为码间串扰。它对基带信号的可靠传输产生不利影响。
什么是数字信号的最佳接收？,由于数字传输系统的传输对象通常是二进制信息，接收设备的作用就是在噪声背景下正确地判断所携带的信息是哪一种。因此，最有利于作出正确判决的接收一定是最佳的接收。从最佳接收的意义上来说，数字通信系统的接收设备可视作一个判决装置，它有一个线性滤波器和一个判决电路组成。线性滤波器对接收信号进行相应的处理，输出某个物理量提供给判决电路。
随参信道的特点如何？为什么信号在随参信道中传输时会发生衰落？,随参信道具有以下三个特点：(1) 对信号的衰耗随时间随机变化；(2) 信号传输的时延随时间随机变化;(3) 多径传播。信号在随参信道中传输时，因为多径传播和信道的时变特性即信号经多径传播后的接收信号是衰耗和时延都随时间变化的各路径信号的合成，所以产生衰落。
什么是恒参信道？理想恒参信道对信号传输会产生哪些影响？,恒参信道实质上是一个非时变的线性网络，其主要传输特性可用幅频特性和相频特性来描述。其幅频特性与频率无关，即是一条水平直线，相频特性是一条通过原点的直线。故信号通过理想恒参信道后，信道的幅度会变化，并产生一定的时延，信号的波形不发生变化。
什么是数字调制？有哪几种基本调制方式？它和模拟调制有哪些异同点？,数字调制是用数字基带信号对正弦形载波波形的某些参量进行控制，使载波的这些参量随基带信号的变化而变化。有ASK、PSK、FSK三种基本方式 。相同点：原理基本相同，都是用基带信号对载波信号的某些参量进行控制；频谱结构类似，已调信号都是带通信号，有线性调制和非线性调制。不同点：数字调制中的基带信号是数字脉冲序列，模拟调制中的基带信号是连续信号。
一个采用非相干解调方式的数字通信系统是否必须有载波同步和位同步？其同步性能的好坏对通信系统的性能有何影响？,采用非相干解调方式的数字通信系统可以不需要载波同步，但必须有位同步。因为消息是一连串的相继的信号码元的序列，需要知道每个码元的起止时刻。位同步性能的好坏将直接影响接收端 的误码率的大小。
简述调制的目的。常见的调制方式有哪些？,将基带信号转换成适合在信道中传输的已调信号；实现信道多路复用；改善系统抗噪声性能。调制方式可分为正弦载波调制和脉冲调制。正弦载波调制又分模拟调制和数字调制；模拟调制是指以模拟信号为调制信号，对连续的正（余）弦载波进行调制，亦即载波的参数随着调制信号的作用而变化。根据载波参数的不同，分为幅度调制（AM，DSB，SSB，VSB）和角度调制（FM和PM）。数字调制是用载波信号的某些离散状态来表征所传送的信息，有ASK、FSK、PSK三种基本形式。
什么是DPCM调制?什么是增量调制?,脉冲编码调制（DPCM）和增量调制（△M）都是预测编码方式。是利用样值之间的关联进行高效率波形编码的方法。即根据信号前一时刻的样值来预测当前时刻的样值。预测值和实际值之差为差值。在DPCM中，是对差值信号进行量化、编码；因差值信号的功率比信号本身的功率要小得多，故可减少编码的位数。在△M中，是对差值信号的符号进行量化、编码，故编码位数只需一位。但△M的取样频率必须远大于PCM的取样频率。
什么是OFDM？OFDM信号的主要优点是什么？,OFDM称为正交频分复用，是一类多载波并行调制的体制。主要优点：1）为了提高频率利用率和增大传输速率，各路子载波的已调信号频谱有部分重叠；2）各路已调信号是严格正交的，以便接收端能完全地分离各路信号；3）每路子载波的调制是多进制调制；4）每路子载波的调制可以不同，根据各个子载波处信道特性的优劣不同采用不同的体制。
什么是码元速率？什么是信息速率？它们之间的关系如何？,码元速率 ：R_b定义为每秒钟传送码元的数目，单位为“波特”，常用符号“B”表示，又称为码元传输速率或传码率。信息速率：R_B定义为每秒钟传递的信息量，单位是比特/秒（bit/s或bps)。设通信系统传送N进制码元，则码元速率与信息速率之间的关系为R_b=R_Blog_2N(B)
